 31° 1.229'E, 20° 15.953'S
 31° 1.198'E, 20° 15.579'S
 31° 1.495'E, 20° 15.667'S
 31° 1.605'E, 20° 15.467'S
 31° 1.473'E, 20° 15.225'S
 31° 1.747'E, 20° 15.457'S
 31° 1.998'E, 20° 15.411'S
 31° 1.737'E, 20° 15.206'S
 31° 1.869'E, 20° 15.071'S
 31° 2.200'E, 20° 15.331'S
 31° 2.124'E, 20° 15.898'S
 31° 2.460'E, 20° 16.572'S
 31° 2.372'E, 20° 15.970'S
 31° 2.375'E, 20° 15.534'S
 31° 2.249'E, 20° 15.091'S
 31° 2.095'E, 20° 14.918'S
 31° 2.662'E, 20° 14.495'S
 31° 3.141'E, 20° 14.252'S
30° 54.935'E, 20° 9.305'S
30° 55.128'E, 20° 9.392'S
30° 55.346'E, 20° 9.734'S
30° 55.239'E, 20° 10.068'S
30° 55.663'E, 20° 10.175'S
30° 55.461'E, 20° 10.539'S
30° 56.102'E, 20° 12.774'S
30° 56.133'E, 20° 13.039'S
30° 56.438'E, 20° 12.877'S
30° 56.564'E, 20° 13.200'S
30° 56.775'E, 20° 13.007'S
30° 57.089'E, 20° 13.036'S
30° 54.694'E, 20° 8.718'S
30° 54.632'E, 20° 8.397'S
30° 54.394'E, 20° 8.455'S
30° 56.077'E, 20° 10.783'S
30° 55.906'E, 20° 10.852'S
30° 55.785'E, 20° 10.540'S
30° 56.145'E, 20° 10.214'S
30° 55.950'E, 20° 9.793'S
30° 55.763'E, 20° 9.801'S
30° 54.573'E, 20° 11.166'S
30° 54.368'E, 20° 11.231'S
30° 54.360'E, 20° 11.369'S
30° 54.293'E, 20° 11.696'S
30° 54.444'E, 20° 11.782'S
30° 54.601'E, 20° 11.702'S
30° 54.278'E, 20° 8.678'S
30° 54.449'E, 20° 8.688'S
30° 54.483'E, 20° 8.603'S
31° 1.254'E, 20° 15.607'S
31° 1.494'E, 20° 16.039'S
30° 59.388'E, 20° 16.765'S
31° 0.945'E, 20° 16.736'S
30° 59.376'E, 20° 14.593'S
30° 59.759'E, 20° 14.617'S
30° 59.837'E, 20° 14.783'S
30° 59.773'E, 20° 14.999'S
31° 0.268'E, 20° 14.935'S
31° 0.578'E, 20° 15.000'S
30° 56.888'E, 20° 14.101'S
30° 57.289'E, 20° 14.495'S
30° 57.403'E, 20° 14.687'S
30° 57.571'E, 20° 14.280'S
30° 57.455'E, 20° 14.072'S
30° 57.712'E, 20° 13.745'S
30° 54.487'E, 20° 9.688'S
30° 54.507'E, 20° 10.077'S
30° 58.022'E, 20° 14.047'S
30° 58.397'E, 20° 14.114'S
30° 58.797'E, 20° 14.147'S
30° 59.286'E, 20° 13.852'S
30° 58.933'E, 20° 14.363'S
30° 59.327'E, 20° 14.270'S
30° 51.756'E, 20° 11.855'S
30° 54.381'E, 20° 11.962'S
31° 0.210'E, 20° 8.472'S
30° 59.960'E, 20° 8.053'S
31° 0.313'E, 20° 7.222'S
30° 59.514'E, 20° 7.390'S
31° 2.893'E, 20° 9.863'S
31° 3.360'E, 20° 10.218'S
31° 3.404'E, 20° 9.511'S
31° 2.534'E, 20° 9.772'S
31° 1.841'E, 20° 8.791'S
31° 1.122'E, 20° 7.915'S
30° 59.265'E, 20° 12.525'S
30° 59.070'E, 20° 12.514'S
30° 59.038'E, 20° 12.691'S
30° 58.922'E, 20° 12.955'S
30° 58.425'E, 20° 12.850'S
30° 58.318'E, 20° 12.681'S
30° 57.899'E, 20° 11.640'S
30° 57.794'E, 20° 11.551'S
30° 57.588'E, 20° 11.608'S
30° 57.373'E, 20° 11.489'S
30° 57.214'E, 20° 11.637'S
30° 56.873'E, 20° 11.384'S
30° 57.979'E, 20° 12.277'S
30° 57.768'E, 20° 12.254'S
30° 57.715'E, 20° 12.200'S
30° 57.741'E, 20° 12.120'S
30° 58.079'E, 20° 11.898'S
30° 58.375'E, 20° 11.569'S
30° 56.705'E, 20° 11.628'S
30° 56.459'E, 20° 11.721'S
30° 56.279'E, 20° 11.554'S
30° 56.017'E, 20° 11.543'S
30° 55.842'E, 20° 11.422'S
30° 55.665'E, 20° 11.359'S
30° 56.634'E, 20° 7.190'S
30° 57.310'E, 20° 8.122'S
30° 57.801'E, 20° 8.195'S
