31° 0.222'E, 20° 15.194'S  
30° 58.738'E, 20° 15.258'S  
30° 57.969'E, 20° 15.172'S  
30° 57.841'E, 20° 14.249'S  
30° 58.548'E, 20° 14.348'S  
30° 59.155'E, 20° 14.108'S  
30° 54.962'E, 20° 11.798'S  
30° 54.118'E, 20° 11.409'S  
30° 53.976'E, 20° 10.826'S  
30° 54.016'E, 20° 9.920'S  
30° 54.165'E, 20° 8.971'S  
30° 54.390'E, 20° 9.192'S  
31° 5.263'E, 20° 9.735'S  
31° 4.770'E, 20° 12.925'S  
31° 5.471'E, 20° 13.509'S  
31° 4.936'E, 20° 14.041'S  
31° 4.367'E, 20° 13.809'S  
31° 4.227'E, 20° 14.462'S  
30° 54.355'E, 20° 9.765'S  
30° 54.886'E, 20° 9.796'S  
30° 54.308'E, 20° 8.021'S  
30° 54.264'E, 20° 8.940'S  
30° 54.532'E, 20° 9.193'S  
30° 55.183'E, 20° 8.375'S  
31° 1.891'E, 20° 15.669'S  
31° 1.211'E, 20° 15.987'S  
31° 1.011'E, 20° 15.713'S  
31° 0.497'E, 20° 15.683'S  
30° 59.163'E, 20° 15.481'S  
30° 59.423'E, 20° 15.090'S  
31° 4.887'E, 20° 14.210'S  
31° 3.253'E, 20° 14.129'S  
31° 2.558'E, 20° 14.849'S  
31° 2.612'E, 20° 15.325'S  
31° 2.715'E, 20° 15.369'S  
31° 1.752'E, 20° 16.189'S  
30° 58.606'E, 20° 15.378'S  
30° 57.531'E, 20° 15.144'S  
30° 55.601'E, 20° 14.621'S  
30° 56.288'E, 20° 14.429'S  
30° 55.628'E, 20° 13.936'S  
30° 56.217'E, 20° 13.518'S  
30° 55.759'E, 20° 13.176'S  
30° 56.210'E, 20° 13.442'S  
30° 55.393'E, 20° 13.482'S  
30° 54.934'E, 20° 13.257'S  
30° 54.536'E, 20° 12.456'S  
30° 54.849'E, 20° 11.906'S  
31° 3.432'E, 20° 11.709'S  
31° 3.791'E, 20° 11.736'S  
31° 4.472'E, 20° 11.234'S  
31° 5.117'E, 20° 11.102'S  
31° 5.196'E, 20° 12.079'S  
31° 5.543'E, 20° 11.777'S  
31° 3.887'E, 20° 6.964'S  
31° 3.677'E, 20° 7.719'S  
31° 4.099'E, 20° 8.322'S  
31° 4.687'E, 20° 9.077'S  
31° 5.048'E, 20° 9.634'S  
31° 5.220'E, 20° 10.091'S  
31° 1.119'E, 20° 13.584'S  
31° 2.147'E, 20° 13.421'S  
