 30° 56.304'E, 20° 12.171'S
 30° 56.383'E, 20° 12.564'S
 30° 56.634'E, 20° 12.375'S
 30° 57.086'E, 20° 12.153'S
 30° 56.933'E, 20° 11.975'S
 30° 57.384'E, 20° 12.043'S
 30° 56.630'E, 20° 12.567'S
 30° 56.856'E, 20° 12.331'S
 30° 57.439'E, 20° 12.429'S
 30° 57.323'E, 20° 12.789'S
 30° 57.714'E, 20° 12.867'S
 30° 57.316'E, 20° 13.410'S
 30° 57.078'E, 20° 13.872'S
 30° 56.620'E, 20° 13.857'S
 30° 57.129'E, 20° 13.985'S
 30° 57.480'E, 20° 13.487'S
 30° 57.888'E, 20° 13.157'S
 30° 57.849'E, 20° 12.582'S
 30° 57.771'E, 20° 13.035'S
 30° 58.204'E, 20° 13.056'S
 30° 58.289'E, 20° 13.489'S
 30° 58.704'E, 20° 13.202'S
 30° 58.544'E, 20° 13.835'S
 30° 58.843'E, 20° 13.772'S
 30° 58.770'E, 20° 13.419'S
 30° 59.238'E, 20° 13.091'S
 30° 59.339'E, 20° 12.759'S
 30° 59.578'E, 20° 13.295'S
 30° 59.437'E, 20° 13.673'S
 30° 59.028'E, 20° 13.450'S
 30° 59.404'E, 20° 13.422'S
 30° 59.749'E, 20° 13.858'S
 31° 0.392'E, 20° 13.597'S
 31° 0.758'E, 20° 13.357'S
 31° 1.095'E, 20° 13.291'S
 31° 0.684'E, 20° 13.744'S
 30° 59.841'E, 20° 14.257'S
 31° 0.204'E, 20° 13.932'S
 31° 0.655'E, 20° 13.680'S
 31° 0.293'E, 20° 14.135'S
 31° 0.109'E, 20° 14.674'S
 31° 0.529'E, 20° 14.254'S
 31° 0.649'E, 20° 13.824'S
 31° 0.540'E, 20° 14.471'S
 31° 0.968'E, 20° 14.057'S
 31° 1.436'E, 20° 13.884'S
 31° 1.559'E, 20° 14.188'S
 31° 1.166'E, 20° 14.267'S
 31° 0.597'E, 20° 14.341'S
 31° 0.097'E, 20° 14.474'S
 31° 0.604'E, 20° 14.733'S
 31° 0.932'E, 20° 14.441'S
 31° 1.341'E, 20° 14.133'S
 31° 1.500'E, 20° 13.855'S
 31° 1.421'E, 20° 14.145'S
 31° 0.429'E, 20° 14.719'S
 31° 0.057'E, 20° 14.383'S
 31° 0.640'E, 20° 14.515'S
 31° 1.141'E, 20° 14.423'S
 31° 1.353'E, 20° 14.678'S
 31° 1.282'E, 20° 15.023'S
 31° 1.030'E, 20° 15.316'S
 31° 1.379'E, 20° 15.496'S
 31° 1.020'E, 20° 15.343'S
 31° 1.333'E, 20° 15.007'S
 31° 1.615'E, 20° 15.120'S
 31° 1.743'E, 20° 14.843'S
 31° 2.075'E, 20° 14.640'S
 31° 2.111'E, 20° 14.280'S
 31° 2.062'E, 20° 14.655'S
 31° 2.123'E, 20° 14.238'S
 31° 2.051'E, 20° 13.833'S
 31° 2.266'E, 20° 14.186'S
 31° 2.588'E, 20° 14.314'S
 31° 2.392'E, 20° 14.002'S
 31° 2.808'E, 20° 14.138'S
 31° 2.691'E, 20° 13.766'S
 31° 2.813'E, 20° 14.103'S
 31° 2.640'E, 20° 13.816'S
 31° 2.601'E, 20° 13.558'S
 31° 2.572'E, 20° 13.149'S
 31° 2.809'E, 20° 13.358'S
 31° 3.093'E, 20° 13.383'S
 31° 3.498'E, 20° 13.474'S
 31° 3.757'E, 20° 13.416'S
 31° 3.729'E, 20° 13.664'S
 31° 3.609'E, 20° 13.552'S
 31° 3.435'E, 20° 13.769'S
 31° 3.433'E, 20° 13.999'S
 31° 3.609'E, 20° 14.242'S
 31° 3.266'E, 20° 13.718'S
 31° 3.121'E, 20° 13.571'S
 31° 3.384'E, 20° 12.916'S
 31° 3.758'E, 20° 12.852'S
 31° 4.028'E, 20° 12.975'S
 31° 3.924'E, 20° 12.674'S
 31° 3.843'E, 20° 12.392'S
 31° 4.195'E, 20° 12.403'S
 31° 3.526'E, 20° 12.542'S
 31° 3.335'E, 20° 12.796'S
 31° 3.124'E, 20° 12.607'S
 31° 2.898'E, 20° 12.616'S
 31° 2.898'E, 20° 12.291'S
 31° 2.631'E, 20° 12.150'S
 31° 2.240'E, 20° 12.319'S
 31° 1.898'E, 20° 12.320'S
 31° 1.560'E, 20° 12.089'S
 31° 2.018'E, 20° 12.046'S
 31° 1.910'E, 20° 12.293'S
 31° 2.244'E, 20° 11.857'S
 31° 2.110'E, 20° 11.628'S
 31° 1.796'E, 20° 11.483'S
 31° 2.327'E, 20° 11.515'S
 31° 2.664'E, 20° 11.581'S
 31° 2.725'E, 20° 11.181'S
 31° 2.423'E, 20° 10.989'S
 31° 2.470'E, 20° 10.864'S
 31° 2.785'E, 20° 11.012'S
 31° 3.022'E, 20° 10.990'S
 31° 3.046'E, 20° 10.891'S
 31° 3.196'E, 20° 10.724'S
 31° 3.259'E, 20° 10.993'S
 31° 3.457'E, 20° 11.049'S
 31° 2.688'E, 20° 11.830'S
 31° 2.941'E, 20° 11.549'S
 31° 3.111'E, 20° 11.206'S
 31° 3.419'E, 20° 11.124'S
 31° 3.879'E, 20° 11.046'S
 31° 4.161'E, 20° 10.876'S
 31° 4.004'E, 20° 10.577'S
 31° 3.906'E, 20° 10.170'S
 31° 4.086'E, 20° 9.570'S
 31° 3.960'E, 20° 9.183'S
 31° 3.600'E, 20° 9.032'S
 31° 3.841'E, 20° 12.437'S
 31° 4.034'E, 20° 12.970'S
 31° 3.930'E, 20° 12.604'S
 31° 4.166'E, 20° 12.401'S
 31° 4.406'E, 20° 12.357'S
 31° 4.345'E, 20° 12.268'S
 31° 4.327'E, 20° 11.907'S
 31° 4.338'E, 20° 11.765'S
 31° 1.977'E, 20° 12.186'S
 30° 56.282'E, 20° 12.122'S
 30° 56.288'E, 20° 12.539'S
 30° 56.573'E, 20° 12.225'S
 30° 56.864'E, 20° 12.588'S
 30° 57.021'E, 20° 12.134'S
 30° 56.304'E, 20° 12.171'S
 30° 56.383'E, 20° 12.564'S
 30° 56.634'E, 20° 12.375'S
 30° 57.086'E, 20° 12.153'S
 30° 56.933'E, 20° 11.975'S
 30° 57.384'E, 20° 12.043'S
 30° 56.630'E, 20° 12.567'S
 30° 56.856'E, 20° 12.331'S
 30° 57.439'E, 20° 12.429'S
 30° 57.323'E, 20° 12.789'S
 30° 57.714'E, 20° 12.867'S
 30° 57.316'E, 20° 13.410'S
 30° 57.078'E, 20° 13.872'S
 30° 56.620'E, 20° 13.857'S
 30° 57.129'E, 20° 13.985'S
 30° 57.480'E, 20° 13.487'S
 30° 57.888'E, 20° 13.157'S
 30° 57.849'E, 20° 12.582'S
 30° 57.771'E, 20° 13.035'S
 30° 58.204'E, 20° 13.056'S
 30° 58.289'E, 20° 13.489'S
 30° 58.704'E, 20° 13.202'S
 30° 58.544'E, 20° 13.835'S
 30° 58.843'E, 20° 13.772'S
 30° 58.770'E, 20° 13.419'S
 30° 59.238'E, 20° 13.091'S
 30° 59.339'E, 20° 12.759'S
 30° 59.578'E, 20° 13.295'S
 30° 59.437'E, 20° 13.673'S
 30° 59.028'E, 20° 13.450'S
 30° 59.404'E, 20° 13.422'S
 30° 59.749'E, 20° 13.858'S
 31° 0.392'E, 20° 13.597'S
 31° 0.758'E, 20° 13.357'S
 31° 1.095'E, 20° 13.291'S
 31° 0.684'E, 20° 13.744'S
 30° 59.841'E, 20° 14.257'S
 31° 0.204'E, 20° 13.932'S
 31° 0.655'E, 20° 13.680'S
 31° 0.293'E, 20° 14.135'S
 31° 0.109'E, 20° 14.674'S
 31° 0.529'E, 20° 14.254'S
 31° 0.649'E, 20° 13.824'S
 31° 0.540'E, 20° 14.471'S
 31° 0.968'E, 20° 14.057'S
 31° 1.436'E, 20° 13.884'S
 31° 1.559'E, 20° 14.188'S
 31° 1.166'E, 20° 14.267'S
 31° 0.597'E, 20° 14.341'S
 31° 0.097'E, 20° 14.474'S
 31° 0.604'E, 20° 14.733'S
 31° 0.932'E, 20° 14.441'S
 31° 1.341'E, 20° 14.133'S
 31° 1.500'E, 20° 13.855'S
 31° 1.421'E, 20° 14.145'S
 31° 0.429'E, 20° 14.719'S
 31° 0.057'E, 20° 14.383'S
 31° 0.640'E, 20° 14.515'S
 31° 1.141'E, 20° 14.423'S
 31° 1.353'E, 20° 14.678'S
 31° 1.282'E, 20° 15.023'S
 31° 1.030'E, 20° 15.316'S
 31° 1.379'E, 20° 15.496'S
 31° 1.020'E, 20° 15.343'S
 31° 1.333'E, 20° 15.007'S
 31° 1.615'E, 20° 15.120'S
 31° 1.743'E, 20° 14.843'S
 31° 2.075'E, 20° 14.640'S
 31° 2.111'E, 20° 14.280'S
 31° 2.062'E, 20° 14.655'S
 31° 2.123'E, 20° 14.238'S
 31° 2.051'E, 20° 13.833'S
 31° 2.266'E, 20° 14.186'S
 31° 2.588'E, 20° 14.314'S
 31° 2.392'E, 20° 14.002'S
 31° 2.808'E, 20° 14.138'S
 31° 2.691'E, 20° 13.766'S
 31° 2.813'E, 20° 14.103'S
 31° 2.640'E, 20° 13.816'S
 31° 2.601'E, 20° 13.558'S
 31° 2.572'E, 20° 13.149'S
 31° 2.809'E, 20° 13.358'S
 31° 3.093'E, 20° 13.383'S
 31° 3.498'E, 20° 13.474'S
 31° 3.757'E, 20° 13.416'S
 31° 3.729'E, 20° 13.664'S
 31° 3.609'E, 20° 13.552'S
 31° 3.435'E, 20° 13.769'S
 31° 3.433'E, 20° 13.999'S
 31° 3.609'E, 20° 14.242'S
 31° 3.266'E, 20° 13.718'S
 31° 3.121'E, 20° 13.571'S
 31° 3.384'E, 20° 12.916'S
 31° 3.758'E, 20° 12.852'S
 31° 4.028'E, 20° 12.975'S
 31° 3.924'E, 20° 12.674'S
 31° 3.843'E, 20° 12.392'S
 31° 4.195'E, 20° 12.403'S
 31° 3.526'E, 20° 12.542'S
 31° 3.335'E, 20° 12.796'S
 31° 3.124'E, 20° 12.607'S
 31° 2.898'E, 20° 12.616'S
 31° 2.898'E, 20° 12.291'S
 31° 2.631'E, 20° 12.150'S
 31° 2.240'E, 20° 12.319'S
 31° 1.898'E, 20° 12.320'S
 31° 1.560'E, 20° 12.089'S
 31° 2.018'E, 20° 12.046'S
 31° 1.910'E, 20° 12.293'S
 31° 2.244'E, 20° 11.857'S
 31° 2.110'E, 20° 11.628'S
 31° 1.796'E, 20° 11.483'S
 31° 2.327'E, 20° 11.515'S
 31° 2.664'E, 20° 11.581'S
 31° 2.725'E, 20° 11.181'S
 31° 2.423'E, 20° 10.989'S
 31° 2.470'E, 20° 10.864'S
 31° 2.785'E, 20° 11.012'S
 31° 3.022'E, 20° 10.990'S
 31° 3.046'E, 20° 10.891'S
 31° 3.196'E, 20° 10.724'S
 31° 3.259'E, 20° 10.993'S
 31° 3.457'E, 20° 11.049'S
 31° 2.688'E, 20° 11.830'S
