30°55.699'E, 20°10.029'S
30°55.840'E, 20°10.030'S
30°55.852'E, 20°10.204'S
30°55.648'E, 20°10.350'S
30°55.547'E, 20°10.518'S
30°55.535'E, 20°10.661'S
30°54.370'E, 20°08.502'S
30°54.525'E, 20°08.426'S
30°54.591'E, 20°08.666'S
30°54.746'E, 20°08.779'S
30°54.912'E, 20°08.941'S
30°55.065'E, 20°09.102'S
30°55.661'E, 20°10.351'S
30°55.547'E, 20°10.590'S
30°55.535'E, 20°10.792'S
30°55.461'E, 20°11.027'S
30°55.375'E, 20°11.131'S
30°55.327'E, 20°11.328'S
30°55.903'E, 20°12.334'S
30°56.191'E, 20°12.411'S
30°56.332'E, 20°12.540'S
30°56.343'E, 20°12.636'S
30°56.582'E, 20°12.605'S
30°56.724'E, 20°12.658'S
30°57.912'E, 20°12.358'S
30°57.752'E, 20°12.412'S
30°57.580'E, 20°12.271'S
30°57.409'E, 20°12.084'S
30°57.453'E, 20°11.930'S
30°57.680'E, 20°11.785'S
30°57.451'E, 20°11.728'S
30°57.126'E, 20°11.885'S
30°56.947'E, 20°11.761'S
30°56.711'E, 20°11.884'S
30°56.503'E, 20°11.917'S
30°56.164'E, 20°11.738'S
30°55.255'E, 20°09.224'S
30°55.386'E, 20°09.350'S
30°55.517'E, 20°09.541'S
30°55.686'E, 20°09.592'S
30°55.570'E, 20°09.818'S
30°55.545'E, 20°10.031'S
30°55.401'E, 20°11.351'S
30°55.440'E, 20°11.579'S
30°55.564'E, 20°11.726'S
30°55.564'E, 20°11.927'S
30°55.613'E, 20°12.093'S
30°56.114'E, 20°12.367'S
30°56.904'E, 20°12.648'S
30°57.044'E, 20°12.712'S
30°57.300'E, 20°12.860'S
30°57.930'E, 20°12.638'S
30°57.903'E, 20°12.499'S
30°58.072'E, 20°12.478'S
31°00.088'E, 20°14.481'S
31°00.099'E, 20°14.692'S
31°00.530'E, 20°14.737'S
31°00.767'E, 20°14.814'S
31°00.889'E, 20°15.074'S
30°57.613'E, 20°12.312'S
30°58.734'E, 20°13.040'S
30°59.039'E, 20°13.040'S
30°59.210'E, 20°12.895'S
30°59.242'E, 20°12.711'S
30°59.376'E, 20°12.576'S
30°59.436'E, 20°12.675'S
30°59.658'E, 20°13.101'S
30°59.811'E, 20°13.090'S
30°59.768'E, 20°13.174'S
30°59.941'E, 20°13.257'S
30°59.859'E, 20°13.353'S
31°00.067'E, 20°13.459'S
30°59.515'E, 20°13.706'S
30°59.776'E, 20°13.960'S
30°59.734'E, 20°14.040'S
30°59.475'E, 20°13.995'S
30°59.800'E, 20°14.188'S
30°59.790'E, 20°14.336'S
31°01.419'E, 20°13.765'S
31°01.497'E, 20°13.613'S
31°01.565'E, 20°13.672'S
31°01.501'E, 20°13.811'S
31°01.609'E, 20°14.076'S
31°01.531'E, 20°14.235'S
31°01.270'E, 20°14.269'S
31°01.325'E, 20°14.449'S
31°01.642'E, 20°14.682'S
31°01.877'E, 20°14.638'S
31°02.074'E, 20°14.427'S
31°02.089'E, 20°14.201'S
31°01.985'E, 20°13.707'S
31°02.298'E, 20°13.591'S
31°02.614'E, 20°13.390'S
31°02.559'E, 20°13.235'S
31°02.556'E, 20°12.969'S
31°02.787'E, 20°13.235'S
30°58.040'E, 20°12.388'S
30°58.116'E, 20°12.500'S
30°57.910'E, 20°12.500'S
30°57.845'E, 20°12.599'S
30°58.050'E, 20°12.772'S
30°58.202'E, 20°12.857'S
31°00.387'E, 20°13.377'S
31°00.715'E, 20°13.210'S
31°00.722'E, 20°13.126'S
31°01.035'E, 20°13.174'S
31°01.206'E, 20°13.223'S
31°00.961'E, 20°13.294'S
31°03.738'E, 20°13.378'S
31°03.735'E, 20°13.707'S
31°03.545'E, 20°13.567'S
31°03.464'E, 20°13.754'S
31°03.577'E, 20°13.985'S
31°03.696'E, 20°14.168'S
31°03.738'E, 20°13.378'S
31°03.735'E, 20°13.707'S
31°03.545'E, 20°13.567'S
31°03.464'E, 20°13.754'S
31°03.577'E, 20°13.985'S
31°03.696'E, 20°14.168'S
30°58.040'E, 20°12.388'S
30°58.116'E, 20°12.500'S
30°57.910'E, 20°12.500'S
30°57.845'E, 20°12.599'S
30°58.050'E, 20°12.772'S
30°58.202'E, 20°12.857'S
31°00.387'E, 20°13.377'S
31°00.715'E, 20°13.210'S
31°00.722'E, 20°13.126'S
31°01.035'E, 20°13.174'S
31°01.206'E, 20°13.223'S
31°00.961'E, 20°13.294'S
31°01.270'E, 20°14.269'S
