30° 55.635'E, 20° 11.650'S  
30° 55.811'E, 20° 11.979'S
30° 55.511'E, 20° 11.141'S  
30° 55.593'E, 20° 10.475'S
30° 55.573'E, 20° 9.742'S
30° 55.394'E, 20° 9.429'S
30° 55.852'E, 20° 12.182'S  
30° 56.320'E, 20° 12.360'S  
30° 56.622'E, 20° 12.536'S  
30° 56.846'E, 20° 12.526'S  
30° 58.061'E, 20° 12.726'S  
30° 58.275'E, 20° 12.894'S  
30° 58.527'E, 20° 13.017'S  
30° 58.687'E, 20° 13.138'S  
30° 58.756'E, 20° 13.149'S  
30° 58.701'E, 20° 13.292'S  
30° 55.881'E, 20° 10.084'S  
30° 55.681'E, 20° 10.353'S  
30° 55.559'E, 20° 10.520'S  
30° 55.568'E, 20° 10.731'S  
30° 55.523'E, 20° 10.983'S  
30° 55.460'E, 20° 11.305'S  
30° 59.050'E, 20° 13.126'S  
30° 59.281'E, 20° 13.015'S  
30° 59.254'E, 20° 12.959'S  
30° 59.359'E, 20° 12.813'S  
30° 59.379'E, 20° 13.115'S  
30° 59.521'E, 20° 13.224'S  
30° 56.944'E, 20° 12.139'S  
30° 56.685'E, 20° 12.170'S  
30° 56.484'E, 20° 12.080'S  
30° 56.288'E, 20° 11.927'S  
30° 55.948'E, 20° 11.928'S  
30° 55.710'E, 20° 11.618'S  
30° 57.262'E, 20° 12.776'S  
30° 57.548'E, 20° 12.813'S  
30° 57.593'E, 20° 12.937'S  
30° 58.012'E, 20° 12.774'S  
30° 57.938'E, 20° 12.736'S  
30° 57.798'E, 20° 12.582'S  
31° 0.064'E, 20° 13.483'S  
31° 0.258'E, 20° 13.611'S  
31° 0.423'E, 20° 13.482'S  
31° 0.667'E, 20° 13.363'S  
31° 0.756'E, 20° 13.232'S  
31° 0.835'E, 20° 13.254'S  
31° 0.881'E, 20° 13.384'S  
31° 0.750'E, 20° 13.652'S  
31° 0.874'E, 20° 13.883'S  
31° 1.051'E, 20° 13.955'S  
31° 1.248'E, 20° 13.975'S  
31° 1.516'E, 20° 13.766'S  
30° 57.094'E, 20° 12.088'S  
30° 57.298'E, 20° 12.017'S  
30° 57.285'E, 20° 12.259'S  
30° 57.549'E, 20° 12.436'S  
30° 57.762'E, 20° 12.544'S  
30° 57.784'E, 20° 12.532'S  
30° 51.742'E, 20° 6.514'S  
30° 52.692'E, 20° 7.095'S  
30° 53.647'E, 20° 6.701'S  
30° 53.866'E, 20° 7.680'S  
30° 55.508'E, 20° 9.479'S  
30° 55.661'E, 20° 9.660'S  
30° 57.173'E, 20° 12.570'S  
30° 56.616'E, 20° 12.471'S  
30° 56.422'E, 20° 12.308'S  
30° 56.645'E, 20° 12.244'S  
30° 56.210'E, 20° 12.117'S  
30° 56.046'E, 20° 12.168'S  
30° 58.533'E, 20° 13.753'S  
30° 58.555'E, 20° 13.530'S  
30° 58.302'E, 20° 13.369'S  
30° 57.999'E, 20° 13.184'S  
30° 57.791'E, 20° 13.151'S  
30° 57.633'E, 20° 13.250'S  
31° 1.411'E, 20° 14.139'S  
31° 1.290'E, 20° 14.325'S  
31° 1.278'E, 20° 14.451'S  
31° 1.126'E, 20° 14.580'S  
31° 1.073'E, 20° 14.580'S  
31° 0.987'E, 20° 14.551'S  
31° 0.581'E, 20° 14.651'S  
31° 0.279'E, 20° 14.593'S  
31° 0.226'E, 20° 14.314'S  
30° 59.847'E, 20° 14.092'S  
30° 59.985'E, 20° 13.989'S  
30° 59.882'E, 20° 13.906'S  
30° 55.863'E, 20° 11.949'S  
30° 56.277'E, 20° 12.077'S  
30° 56.357'E, 20° 12.205'S  
30° 56.557'E, 20° 12.319'S  
30° 56.843'E, 20° 12.369'S  
30° 57.183'E, 20° 12.368'S  
30° 57.460'E, 20° 13.392'S  
30° 57.345'E, 20° 13.607'S  
30° 57.159'E, 20° 13.776'S  
30° 57.167'E, 20° 13.965'S  
30° 57.052'E, 20° 13.734'S  
30° 56.908'E, 20° 13.735'S  
30° 57.130'E, 20° 13.660'S  
30° 57.274'E, 20° 13.425'S  
30° 57.478'E, 20° 13.108'S  
30° 57.598'E, 20° 12.896'S  
30° 57.294'E, 20° 12.772'S  
30° 57.262'E, 20° 12.635'S  
30° 59.659'E, 20° 13.665'S  
30° 59.474'E, 20° 13.559'S  
30° 59.204'E, 20° 13.528'S  
30° 58.988'E, 20° 13.625'S  
30° 58.986'E, 20° 13.603'S  
30° 58.815'E, 20° 13.561'S  
30° 57.802'E, 20° 12.849'S  
30° 58.087'E, 20° 12.970'S  
30° 57.632'E, 20° 13.079'S  
30° 57.474'E, 20° 13.221'S  
30° 57.364'E, 20° 13.386'S  
30° 57.976'E, 20° 13.054'S  
30° 56.946'E, 20° 12.361'S  
30° 57.122'E, 20° 12.386'S  
30° 57.110'E, 20° 12.232'S  
30° 57.194'E, 20° 12.463'S  
30° 57.329'E, 20° 12.463'S  
30° 57.343'E, 20° 12.727'S 
31° 1.166'E, 20° 14.610'S  
31° 1.159'E, 20° 14.123'S  
31° 1.274'E, 20° 14.089'S  
31° 0.620'E, 20° 14.433'S  
31° 0.236'E, 20° 14.229'S  
31° 0.636'E, 20° 14.113'S  
31° 4.033'E, 20° 10.540'S  
31° 3.956'E, 20° 10.408'S  
31° 3.911'E, 20° 10.228'S  
31° 3.941'E, 20° 10.050'S  
31° 4.078'E, 20° 9.845'S  
31° 4.107'E, 20° 9.640'S  
31° 3.355'E, 20° 12.555'S  
31° 3.516'E, 20° 12.698'S  
31° 3.437'E, 20° 12.756'S  
31° 3.554'E, 20° 12.756'S  
31° 3.788'E, 20° 12.755'S  
31° 2.892'E, 20° 12.219'S  
31° 0.049'E, 20° 13.741'S  
31° 0.236'E, 20° 13.898'S  
31° 0.471'E, 20° 13.693'S  
31° 0.750'E, 20° 13.380'S  
31° 0.635'E, 20° 13.905'S  
31° 0.476'E, 20° 14.333'S  
31° 3.495'E, 20° 8.011'S  
31° 3.769'E, 20° 7.008'S  
31° 4.062'E, 20° 6.538'S  
31° 4.344'E, 20° 6.510'S  
31° 3.998'E, 20° 9.936'S  
31° 3.927'E, 20° 10.231'S  
31° 2.658'E, 20° 11.747'S  
31° 2.797'E, 20° 11.634'S  
31° 2.777'E, 20° 11.409'S  
31° 2.826'E, 20° 11.318'S  
31° 2.870'E, 20° 11.146'S  
31° 2.781'E, 20° 11.065'S  
31° 3.359'E, 20° 12.615'S  
31° 3.163'E, 20° 12.478'S  
31° 3.450'E, 20° 12.775'S  
31° 3.663'E, 20° 12.660'S  
31° 3.909'E, 20° 12.728'S  
31° 3.889'E, 20° 12.544'S  
31° 3.134'E, 20° 10.935'S  
31° 3.306'E, 20° 11.063'S  
31° 3.476'E, 20° 11.128'S  
31° 3.661'E, 20° 11.095'S  
31° 3.833'E, 20° 11.056'S  
31° 3.970'E, 20° 11.018'S  
31° 4.027'E, 20° 9.141'S  
31° 3.698'E, 20° 9.061'S  
31° 3.385'E, 20° 8.860'S  
31° 3.212'E, 20° 8.725'S  
31° 3.022'E, 20° 8.903'S  
31° 2.811'E, 20° 8.943'S  
31° 2.809'E, 20° 13.602'S  
31° 2.566'E, 20° 13.731'S  
31° 2.243'E, 20° 13.826'S  
31° 2.387'E, 20° 13.930'S  
31° 2.588'E, 20° 13.940'S  
31° 2.412'E, 20° 14.065'S  
31° 0.813'E, 20° 13.379'S
31° 0.730'E, 20° 13.553'S
31° 0.728'E, 20° 13.781'S
31° 0.578'E, 20° 14.117'S
31° 0.396'E, 20° 14.184'S
31° 0.134'E, 20° 14.107'S
30° 57.173'E, 20° 12.570'S
30° 56.616'E, 20° 12.471'S
30° 56.422'E, 20° 12.308'S
30° 56.645'E, 20° 12.244'S
30° 56.210'E, 20° 12.117'S
30° 56.046'E, 20° 12.168'S
30° 55.863'E, 20° 11.949'S
30° 56.277'E, 20° 12.077'S
30° 56.357'E, 20° 12.205'S
30° 56.557'E, 20° 12.319'S
30° 56.843'E, 20° 12.369'S
30° 57.183'E, 20° 12.368'S
30° 58.651'E, 20° 13.719'S
30° 58.363'E, 20° 13.160'S
30° 58.028'E, 20° 12.982'S
30° 59.554'E, 20° 13.475'S
30° 59.751'E, 20° 13.451'S
30° 59.699'E, 20° 13.659'S
30° 57.802'E, 20° 12.849'S
30° 58.087'E, 20° 12.970'S
30° 57.632'E, 20° 13.079'S
30° 57.474'E, 20° 13.221'S
30° 57.364'E, 20° 13.386'S
30° 57.976'E, 20° 13.054'S
30° 58.786'E, 20° 13.313'S
30° 58.983'E, 20° 13.277'S
30° 59.164'E, 20° 13.147'S
30° 59.266'E, 20° 13.063'S
30° 59.320'E, 20° 13.194'S
30° 59.317'E, 20° 13.405'S
31° 0.766'E, 20° 14.638'S
31° 0.746'E, 20° 14.402'S
31° 0.726'E, 20° 14.128'S
31° 0.761'E, 20° 13.928'S
31° 0.896'E, 20° 14.105'S
31° 1.113'E, 20° 14.083'S
30° 58.415'E, 20° 13.372'S
30° 58.402'E, 20° 13.208'S
30° 58.496'E, 20° 13.208'S
30° 58.589'E, 20° 13.349'S
30° 58.649'E, 20° 13.696'S
30° 58.736'E, 20° 13.615'S
31° 0.057'E, 20° 13.612'S
31° 0.138'E, 20° 13.612'S
31° 0.211'E, 20° 13.850'S
31° 0.336'E, 20° 13.691'S
31° 0.567'E, 20° 13.714'S
31° 0.567'E, 20° 13.542'S
30° 58.534'E, 20° 13.747'S  
30° 58.690'E, 20° 13.908'S  
30° 59.345'E, 20° 13.586'S  
30° 59.318'E, 20° 12.844'S  
30° 58.739'E, 20° 13.178'S  
30° 58.102'E, 20° 12.777'S  
31° 1.533'E, 20° 13.748'S  
31° 1.616'E, 20° 14.075'S  
31° 1.569'E, 20° 14.255'S  
31° 1.433'E, 20° 14.146'S  
31° 1.257'E, 20° 14.332'S  
31° 1.750'E, 20° 14.796'S  
30° 55.854'E, 20° 12.269'S  
30° 56.102'E, 20° 12.362'S  
30° 56.466'E, 20° 12.532'S  
30° 56.213'E, 20° 11.896'S  
30° 56.577'E, 20° 12.094'S  
30° 56.879'E, 20° 12.265'S  
30° 55.486'E, 20° 9.556'S  
