30° 55.554'E, 20° 10.604'S 
30° 55.829'E, 20° 10.221'S
30° 55.829'E, 20° 10.221'S
30° 55.541'E, 20° 10.090'S
30° 55.601'E, 20° 9.651'S
30° 55.340'E, 20° 9.429'S
30° 54.962'E, 20° 9.042'S
30° 54.627'E, 20° 8.611'S
30° 55.521'E, 20° 10.934'S
30° 55.467'E, 20° 11.407'S  
30° 55.527'E, 20° 11.520'S  
30° 55.409'E, 20° 11.324'S  
30° 55.561'E, 20° 11.551'S  
30° 55.607'E, 20° 11.573'S  
30° 55.726'E, 20° 11.687'S  
30° 55.560'E, 20° 10.748'S  
30° 55.587'E, 20° 10.908'S  
30° 55.550'E, 20° 11.017'S  
30° 55.480'E, 20° 11.096'S  
30° 55.518'E, 20° 11.191'S  
30° 55.524'E, 20° 11.295'S  
30° 58.106'E, 20° 13.192'S  
30° 58.617'E, 20° 13.552'S  
30° 58.594'E, 20° 13.685'S  
30° 58.540'E, 20° 13.745'S  
30° 58.635'E, 20° 13.766'S  
30° 58.653'E, 20° 13.797'S  
30° 56.095'E, 20° 11.964'S  
30° 56.252'E, 20° 11.908'S  
30° 56.598'E, 20° 12.077'S  
30° 56.820'E, 20° 12.344'S  
30° 56.970'E, 20° 12.289'S  
30° 56.927'E, 20° 12.128'S  
30° 57.192'E, 20° 12.632'S  
30° 56.817'E, 20° 12.615'S  
30° 57.099'E, 20° 13.863'S  
30° 57.317'E, 20° 13.461'S  
30° 57.492'E, 20° 13.183'S  
30° 57.673'E, 20° 13.101'S  
30° 58.751'E, 20° 13.738'S  
30° 58.808'E, 20° 13.576'S  
30° 59.010'E, 20° 13.630'S  
30° 59.152'E, 20° 13.499'S  
30° 59.299'E, 20° 13.552'S  
30° 59.566'E, 20° 13.525'S  
30° 55.571'E, 20° 9.872'S  
30° 55.577'E, 20° 9.997'S  
30° 55.824'E, 20° 10.021'S  
30° 55.839'E, 20° 10.240'S  
30° 55.638'E, 20° 10.415'S  
30° 55.579'E, 20° 10.564'S  
30° 57.626'E, 20° 12.920'S  
30° 57.791'E, 20° 12.976'S  
30° 57.585'E, 20° 13.026'S  
30° 57.395'E, 20° 13.203'S  
30° 57.264'E, 20° 13.460'S  
30° 57.238'E, 20° 13.644'S  
30° 56.801'E, 20° 12.510'S  
30° 56.825'E, 20° 12.614'S  
30° 56.941'E, 20° 12.522'S  
30° 57.264'E, 20° 12.641'S  
30° 57.287'E, 20° 12.765'S  
30° 57.372'E, 20° 12.858'S  
30° 55.780'E, 20° 11.831'S  
30° 55.833'E, 20° 11.973'S  
30° 55.981'E, 20° 12.084'S  
30° 55.840'E, 20° 12.263'S  
30° 56.114'E, 20° 12.310'S  
30° 56.345'E, 20° 12.408'S  
30° 58.675'E, 20° 13.598'S  
30° 58.571'E, 20° 13.414'S  
30° 58.891'E, 20° 13.388'S  
30° 58.401'E, 20° 13.288'S  
30° 58.413'E, 20° 13.091'S  
30° 58.133'E, 20° 13.087'S  
31° 0.013'E, 20° 13.471'S  
31° 0.263'E, 20° 13.559'S  
31° 0.775'E, 20° 13.239'S  
31° 1.078'E, 20° 13.255'S  
31° 0.829'E, 20° 13.420'S  
31° 0.821'E, 20° 13.484'S  
31° 1.028'E, 20° 13.950'S  
31° 1.522'E, 20° 13.760'S  
31° 1.486'E, 20° 13.958'S  
31° 1.583'E, 20° 14.018'S  
31° 1.546'E, 20° 14.212'S  
31° 1.353'E, 20° 14.117'S  
31° 0.800'E, 20° 13.375'S  
31° 0.597'E, 20° 13.616'S  
31° 0.367'E, 20° 13.723'S  
31° 0.122'E, 20° 13.760'S  
30° 59.918'E, 20° 13.816'S  
30° 59.888'E, 20° 13.626'S  
30° 59.312'E, 20° 12.817'S  
30° 59.349'E, 20° 13.089'S  
30° 59.408'E, 20° 13.187'S  
30° 59.609'E, 20° 13.254'S  
30° 59.745'E, 20° 13.193'S  
30° 59.855'E, 20° 13.311'S  
30° 55.567'E, 20° 10.748'S  
30° 55.587'E, 20° 10.908'S  
30° 55.550'E, 20° 11.017'S  
30° 55.480'E, 20° 11.096'S  
30° 55.518'E, 20° 11.191'S  
30° 55.524'E, 20° 11.295'S  
30° 59.763'E, 20° 13.411'S  
30° 59.480'E, 20° 13.304'S  
30° 59.290'E, 20° 13.239'S  
30° 59.266'E, 20° 13.030'S  
30° 59.399'E, 20° 13.457'S  
