31° 2.450'E, 20° 10.866'S
31° 3.060'E, 20° 10.731'S
31° 2.677'E, 20° 11.628'S
31° 1.587'E, 20° 11.507'S
31° 1.360'E, 20° 12.132'S
31° 2.384'E, 20° 11.894'S
30° 57.239'E, 20° 14.173'S
30° 58.116'E, 20° 13.225'S
30° 59.321'E, 20° 12.755'S
30° 58.733'E, 20° 13.776'S
30° 59.626'E, 20° 13.593'S
31° 0.664'E, 20° 13.518'S
31° 0.924'E, 20° 13.270'S
30° 59.421'E, 20° 14.069'S
31° 0.688'E, 20° 14.579'S
31° 1.414'E, 20° 14.064'S
31° 1.281'E, 20° 14.798'S
31° 1.173'E, 20° 15.346'S
31° 1.421'E, 20° 14.952'S
31° 2.089'E, 20° 14.655'S
31° 2.487'E, 20° 14.012'S
31° 3.595'E, 20° 14.237'S
31° 3.665'E, 20° 13.388'S
30° 55.631'E, 20° 11.957'S
30° 56.543'E, 20° 12.314'S
30° 57.603'E, 20° 12.951'S
30° 57.392'E, 20° 13.455'S
30° 57.114'E, 20° 13.787'S
30° 56.585'E, 20° 13.892'S
30° 57.220'E, 20° 11.658'S
30° 56.825'E, 20° 11.375'S
30° 56.832'E, 20° 11.616'S
30° 56.476'E, 20° 11.813'S
30° 56.243'E, 20° 11.540'S
30° 55.992'E, 20° 11.616'S
31° 3.058'E, 20° 12.416'S
31° 3.711'E, 20° 12.784'S
31° 4.345'E, 20° 12.262'S
31° 4.894'E, 20° 11.535'S
31° 4.285'E, 20° 13.235'S
31° 1.530'E, 20° 13.781'S
30° 57.688'E, 20° 11.807'S
30° 57.691'E, 20° 11.927'S
30° 58.251'E, 20° 11.619'S
30° 57.906'E, 20° 11.744'S
30° 57.771'E, 20° 11.518'S
30° 57.541'E, 20° 11.618'S
30° 58.334'E, 20° 12.549'S
30° 58.187'E, 20° 12.442'S
30° 58.261'E, 20° 12.320'S
30° 57.925'E, 20° 12.312'S
30° 57.903'E, 20° 12.434'S
30° 57.722'E, 20° 12.437'S
30° 55.365'E, 20° 9.659'S
30° 55.416'E, 20° 10.101'S
30° 55.819'E, 20° 10.070'S
30° 55.758'E, 20° 10.268'S
30° 55.581'E, 20° 10.528'S
30° 55.409'E, 20° 11.007'S
30° 54.568'E, 20° 8.781'S
30° 54.574'E, 20° 8.517'S
30° 54.455'E, 20° 8.519'S
30° 54.271'E, 20° 8.474'S
30° 54.612'E, 20° 8.479'S
30° 54.633'E, 20° 8.768'S
30° 54.819'E, 20° 8.828'S
30° 55.101'E, 20° 9.037'S
30° 55.323'E, 20° 8.959'S
30° 55.460'E, 20° 8.630'S
30° 55.414'E, 20° 8.920'S
30° 55.288'E, 20° 9.159'S
30° 55.416'E, 20° 10.138'S
30° 55.833'E, 20° 10.119'S
30° 54.468'E, 20° 11.214'S
30° 54.384'E, 20° 11.033'S
30° 54.231'E, 20° 11.096'S
30° 54.770'E, 20° 11.386'S
30° 55.434'E, 20° 9.232'S
30° 55.584'E, 20° 9.466'S
30° 55.754'E, 20° 9.464'S
30° 55.695'E, 20° 9.738'S
30° 55.867'E, 20° 9.847'S
30° 55.909'E, 20° 9.970'S
30° 55.258'E, 20° 11.203'S
30° 55.470'E, 20° 10.775'S
30° 54.474'E, 20° 11.420'S
30° 54.352'E, 20° 11.688'S
30° 54.434'E, 20° 11.831'S
30° 54.570'E, 20° 11.637'S
30° 54.752'E, 20° 11.646'S
30° 55.020'E, 20° 11.497'S
30° 55.314'E, 20° 11.384'S
30° 55.407'E, 20° 11.492'S
30° 55.322'E, 20° 11.711'S
30° 55.338'E, 20° 11.855'S
30° 55.268'E, 20° 12.132'S
30° 55.457'E, 20° 12.512'S
30° 55.386'E, 20° 12.811'S
30° 55.663'E, 20° 12.533'S
30° 56.180'E, 20° 12.740'S
30° 56.185'E, 20° 12.977'S
31° 3.488'E, 20° 12.465'S
31° 3.436'E, 20° 12.302'S
31° 3.290'E, 20° 12.077'S
31° 2.959'E, 20° 11.968'S
31° 2.787'E, 20° 11.983'S
31° 2.984'E, 20° 11.690'S
31° 4.150'E, 20° 11.673'S
31° 4.138'E, 20° 11.950'S
31° 4.230'E, 20° 11.987'S
31° 4.189'E, 20° 12.278'S
31° 3.912'E, 20° 12.270'S
31° 3.700'E, 20° 11.995'S
31° 5.293'E, 20° 11.641'S
31° 5.456'E, 20° 11.421'S
31° 5.601'E, 20° 11.395'S
31° 5.430'E, 20° 11.383'S
31° 5.256'E, 20° 11.475'S
31° 5.096'E, 20° 11.529'S
31° 4.781'E, 20° 12.447'S
31° 4.599'E, 20° 12.272'S
31° 4.547'E, 20° 12.172'S
31° 4.482'E, 20° 11.958'S
31° 4.749'E, 20° 11.738'S
31° 4.776'E, 20° 11.699'S
31° 4.977'E, 20° 11.416'S
31° 4.672'E, 20° 11.408'S
31° 4.737'E, 20° 11.560'S
31° 4.377'E, 20° 11.668'S
31° 4.366'E, 20° 11.565'S
31° 4.233'E, 20° 11.491'S
31° 3.606'E, 20° 13.377'S
31° 3.291'E, 20° 13.294'S
31° 3.264'E, 20° 13.146'S
31° 3.277'E, 20° 13.046'S
31° 3.421'E, 20° 12.995'S
31° 3.637'E, 20° 13.041'S
31° 4.029'E, 20° 11.033'S
31° 4.248'E, 20° 10.772'S
31° 4.134'E, 20° 9.975'S
31° 3.482'E, 20° 8.671'S
31° 3.445'E, 20° 8.850'S
31° 4.031'E, 20° 9.057'S
31° 4.459'E, 20° 13.104'S
31° 4.316'E, 20° 13.067'S
31° 4.226'E, 20° 12.806'S
31° 4.108'E, 20° 12.619'S
31° 4.307'E, 20° 12.504'S
31° 4.425'E, 20° 12.565'S
31° 3.760'E, 20° 14.424'S
